========== key size = 16, value size = 16384 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 84 : 15.920000
Latency for percentile 85 : 16.675000
Latency for percentile 86 : 17.430000
Latency for percentile 87 : 18.185000
Latency for percentile 88 : 18.940000
Latency for percentile 89 : 19.695000
Latency for percentile 90 : 20.450000
Latency for percentile 91 : 21.205000
Latency for percentile 92 : 21.960000
Latency for percentile 93 : 30.580000
Latency for percentile 94 : 35.598000
Latency for percentile 95 : 38.165000
Latency for percentile 96 : 40.732000
Latency for percentile 97 : 43.299000
Latency for percentile 98 : 45.866000
Latency for percentile 99 : 48.000000
Latency for percentile 100 : 48.000000
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.016091
Latency for percentile 2 : 0.032182
Latency for percentile 3 : 0.048272
Latency for percentile 4 : 0.064363
Latency for percentile 5 : 0.080454
Latency for percentile 6 : 0.096545
Latency for percentile 7 : 0.112635
Latency for percentile 8 : 0.128726
Latency for percentile 9 : 0.144817
Latency for percentile 10 : 0.160908
Latency for percentile 11 : 0.176998
Latency for percentile 12 : 0.193089
Latency for percentile 13 : 0.209180
Latency for percentile 14 : 0.225271
Latency for percentile 15 : 0.241361
Latency for percentile 16 : 0.257452
Latency for percentile 17 : 0.273543
Latency for percentile 18 : 0.289634
Latency for percentile 19 : 0.305724
Latency for percentile 20 : 0.321815
Latency for percentile 21 : 0.337906
Latency for percentile 22 : 0.353997
Latency for percentile 23 : 0.370087
Latency for percentile 24 : 0.386178
Latency for percentile 25 : 0.402269
Latency for percentile 26 : 0.418360
Latency for percentile 27 : 0.434450
Latency for percentile 28 : 0.450541
Latency for percentile 29 : 0.466632
Latency for percentile 30 : 0.482723
Latency for percentile 31 : 0.498813
Latency for percentile 32 : 0.514904
Latency for percentile 33 : 0.530995
Latency for percentile 34 : 0.547086
Latency for percentile 35 : 0.563176
Latency for percentile 36 : 0.579267
Latency for percentile 37 : 0.595358
Latency for percentile 38 : 0.611449
Latency for percentile 39 : 0.627539
Latency for percentile 40 : 0.643630
Latency for percentile 41 : 0.659721
Latency for percentile 42 : 0.675812
Latency for percentile 43 : 0.691902
Latency for percentile 44 : 0.707993
Latency for percentile 45 : 0.724084
Latency for percentile 46 : 0.740175
Latency for percentile 47 : 0.756265
Latency for percentile 48 : 0.772356
Latency for percentile 49 : 0.788447
Latency for percentile 50 : 0.804538
Latency for percentile 51 : 0.820628
Latency for percentile 52 : 0.836719
Latency for percentile 53 : 0.852810
Latency for percentile 54 : 0.868901
Latency for percentile 55 : 0.884991
Latency for percentile 56 : 0.901082
Latency for percentile 57 : 0.917173
Latency for percentile 58 : 0.933264
Latency for percentile 59 : 0.949354
Latency for percentile 60 : 0.965445
Latency for percentile 61 : 0.981536
Latency for percentile 62 : 0.997627
Latency for percentile 63 : 1.074151
Latency for percentile 64 : 1.161132
