========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 84 : 95.040000
Latency for percentile 85 : 106.600000
Latency for percentile 86 : 138.800000
Latency for percentile 87 : 171.600000
Latency for percentile 88 : 178.400000
Latency for percentile 89 : 185.200000
Latency for percentile 90 : 192.000000
Latency for percentile 91 : 198.800000
Latency for percentile 92 : 205.600000
Latency for percentile 93 : 212.400000
Latency for percentile 94 : 219.200000
Latency for percentile 95 : 226.000000
Latency for percentile 96 : 232.400000
Latency for percentile 97 : 239.300000
Latency for percentile 98 : 246.200000
Latency for percentile 99 : 1486.000000
Latency for percentile 100 : 1511.000000
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.016383
Latency for percentile 2 : 0.032766
Latency for percentile 3 : 0.049149
Latency for percentile 4 : 0.065532
Latency for percentile 5 : 0.081915
Latency for percentile 6 : 0.098298
Latency for percentile 7 : 0.114681
Latency for percentile 8 : 0.131064
Latency for percentile 9 : 0.147447
Latency for percentile 10 : 0.163830
Latency for percentile 11 : 0.180213
Latency for percentile 12 : 0.196596
Latency for percentile 13 : 0.212979
Latency for percentile 14 : 0.229362
Latency for percentile 15 : 0.245745
Latency for percentile 16 : 0.262128
Latency for percentile 17 : 0.278511
Latency for percentile 18 : 0.294894
Latency for percentile 19 : 0.311277
Latency for percentile 20 : 0.327660
Latency for percentile 21 : 0.344043
Latency for percentile 22 : 0.360426
Latency for percentile 23 : 0.376809
Latency for percentile 24 : 0.393191
Latency for percentile 25 : 0.409574
Latency for percentile 26 : 0.425957
Latency for percentile 27 : 0.442340
Latency for percentile 28 : 0.458723
Latency for percentile 29 : 0.475106
Latency for percentile 30 : 0.491489
Latency for percentile 31 : 0.507872
Latency for percentile 32 : 0.524255
Latency for percentile 33 : 0.540638
Latency for percentile 34 : 0.557021
Latency for percentile 35 : 0.573404
Latency for percentile 36 : 0.589787
Latency for percentile 37 : 0.606170
Latency for percentile 38 : 0.622553
Latency for percentile 39 : 0.638936
Latency for percentile 40 : 0.655319
Latency for percentile 41 : 0.671702
Latency for percentile 42 : 0.688085
Latency for percentile 43 : 0.704468
Latency for percentile 44 : 0.720851
Latency for percentile 45 : 0.737234
Latency for percentile 46 : 0.753617
Latency for percentile 47 : 0.770000
Latency for percentile 48 : 0.786383
Latency for percentile 49 : 0.802766
Latency for percentile 50 : 0.819149
Latency for percentile 51 : 0.835532
Latency for percentile 52 : 0.851915
Latency for percentile 53 : 0.868298
Latency for percentile 54 : 0.884681
